964,1034,1
964,341,1
964,1130,1
964,386,1
964,479,1
964,991,1
964,242,1
964,320,4
964,40,5
964,42,5
964,1014,5
964,62,6
1085,1127,1
1085,133,1
1085,1277,1
1085,1347,1
1085,1351,1
1085,331,1
1085,789,1
1085,958,1
1085,1021,1
1085,1046,2
1085,1177,2
1085,1314,2
1085,345,2
1085,1086,3
1085,702,3
1085,1248,4
1085,1293,4
1085,1387,4
1085,146,5
1085,414,5
1085,642,5
1085,1173,6
1085,1310,6
1085,931,7
1085,968,8
1085,884,10
1085,613,12
1085,1395,14
196,1036,1
196,851,1
196,65,2
196,1157,3
196,194,3
1404,1424,1
1404,782,2
1404,1333,3
1404,362,4
1404,1321,6
1398,1439,1
1398,1201,2
1398,1315,3
1398,146,6
1398,1311,6
1398,498,9
1398,1442,16
875,1027,1
875,1032,1
875,1036,1
875,13,1
875,22,1
875,39,1
875,40,1
875,1065,1
875,42,1
875,43,1
875,61,1
875,62,1
875,65,1
875,95,1
875,96,1
875,120,1
875,211,1
1455,1293,1
1455,1294,1
1455,1321,1
1455,300,1
1455,1080,1
1455,1108,1
1455,855,1
1455,613,1
1455,1134,1
1455,1139,1
1455,884,1
1455,897,1
1455,1439,1
1455,942,1
1455,1456,1
1455,1211,1
1455,1221,1
1455,1229,1
1455,465,1
1455,210,1
1455,984,1
1455,994,1
1455,743,1
1455,1258,1
1455,498,1
1455,505,1
1455,1277,1
1455,1426,12
1455,931,13
99,260,1
99,780,1
99,528,1
99,16,1
99,550,1
99,294,1
99,298,1
99,811,1
99,299,1
99,603,1
99,373,1
99,375,1
99,378,1
99,643,1
99,410,1
99,680,1
99,168,1
99,938,1
99,1457,1
99,198,1
99,221,1
99,231,1
99,546,5
99,300,6
99,331,11
298,528,1
298,1045,1
298,26,1
298,1051,1
298,539,1
298,546,1
298,52,1
298,595,1
298,603,1
298,617,1
298,654,1
298,164,1
298,168,1
298,681,1
393,516,1
393,1029,1
393,1033,1
393,17,1
393,531,1
393,534,1
393,538,1
393,1053,1
393,51,1
393,563,1
393,1078,1
393,1094,1
393,585,1
393,79,1
393,596,1
393,1108,1
393,1110,1
393,1112,1
265,208,1
265,1121,1
265,191,1
265,1179,4
265,1475,5
265,429,7
265,781,13
968,1048,1
968,575,1
968,1100,1
968,642,1
968,1177,1
968,1194,1
968,1196,1
968,1207,1
968,1227,1
968,1314,1
968,1315,1
968,1335,1
968,834,1
968,1349,1
968,841,1
968,1356,1
968,1372,1
968,1386,1
1224,1040,1
1224,1080,1
1224,575,1
1224,110,1
1224,1144,1
1224,132,1
1224,649,1
1224,1173,1
1224,1177,1
1224,690,1
1224,208,1
1224,1239,1
1224,1258,1
1224,1262,1
1224,782,1
1026,518,1
1026,523,1
1026,13,1
1026,26,1
1026,587,1
1026,602,1
1026,603,1
1026,118,1
1026,643,1
1026,1168,1
1026,155,1
1026,674,1
1026,708,1
1026,220,1
1026,221,1
1026,242,1
1026,758,1
1026,497,1
1026,1223,2
1026,566,8
1026,1266,9
1209,1413,1
1209,902,1
1209,1044,1
1209,789,1
1209,1046,1
1209,1177,1
1209,799,1
1209,1311,1
1209,1332,1
1209,820,1
1209,1086,1
1209,1350,1
1209,1482,1
1209,1358,1
1209,354,1
1209,1251,1
1209,1379,1
1209,1397,1
1209,887,1
1209,1273,1
1209,507,1
1209,1110,3
1209,1422,4
988,522,1
988,528,1
988,533,1
988,22,1
988,546,1
988,553,1
988,1072,1
988,481,1
988,513,2
988,289,3
988,685,3
988,1408,3
988,701,4
988,790,4
988,1397,5
988,928,6
988,1043,6
988,900,7
988,1256,7
988,492,9
988,1482,10
988,994,11
988,1327,13
988,1275,14
1378,1033,1
1378,1118,1
1378,1127,1
1378,132,1
1378,146,1
1378,660,1
1378,1174,1
1378,941,1
1378,1480,1
1378,986,1
1378,485,1
1378,1016,1
1378,507,1
1378,374,3
1378,522,3
1378,884,3
1378,1332,5
592,1414,1
592,900,1
592,1274,1
592,1293,1
592,1294,1
592,782,1
592,1265,1
592,884,1
592,1150,1
592,1358,2
592,398,3
592,1177,4
592,914,5
592,538,6
592,1447,9
592,355,11
592,1181,12
592,1211,14
592,79,19
21,1035,1
21,1044,1
21,1046,1
21,1048,1
21,1062,1
21,961,1
21,967,1
21,968,1
21,984,1
21,986,1
21,1016,1
21,815,2
21,1445,2
21,642,3
21,1251,3
21,485,6
21,1438,8
21,191,9
1397,1285,1
1397,1037,1
1397,21,1
1397,538,1
1397,1307,1
1397,799,1
1397,1312,1
1397,1314,1
1397,1315,1
1397,1317,1
1397,1086,1
1397,1351,1
1397,1356,1
1397,1358,1
1397,1365,1
1397,1375,1
1397,1140,1
1397,890,1
1397,1021,1
1397,355,4
1397,866,5
1397,1213,6
1397,1412,6
1397,66,8
